Date,Open,High,Low,Close,Volume
2021-02-24,547.0,567.0,546.0,553.9500122070312,7229614
2021-02-25,560.7999877929688,597.0,559.0,593.0,16764202
2021-02-26,585.0,589.4000244140625,555.4500122070312,561.5499877929688,11511171
2021-03-01,570.0,592.7000122070312,570.0,590.5999755859375,8570035
2021-03-02,603.0,608.7999877929688,580.1500244140625,589.4500122070312,10602015
2021-03-03,595.7999877929688,616.8499755859375,589.2000122070312,613.5999755859375,8740632
2021-03-04,602.0,631.4500122070312,599.0999755859375,615.4500122070312,14124256
2021-03-05,615.4500122070312,615.9000244140625,586.0,591.5499877929688,7517590
2021-03-08,601.0,636.2000122070312,600.0,629.9500122070312,14163149
2021-03-09,634.0,637.7000122070312,611.25,624.9000244140625,10566829
2021-03-10,630.5999755859375,630.5999755859375,612.5,621.2999877929688,5583509
2021-03-12,626.5999755859375,632.9500122070312,614.0999755859375,620.2999877929688,4994965
2021-03-15,623.2999877929688,625.4500122070312,604.4500122070312,621.3499755859375,5438310
2021-03-16,625.0499877929688,639.5499877929688,616.5499877929688,620.25,8396917
2021-03-17,623.6500244140625,626.8499755859375,605.0,609.2000122070312,4503677
2021-03-18,617.6500244140625,622.7999877929688,594.0499877929688,601.2999877929688,6154177
2021-03-19,598.0,628.9000244140625,586.2000122070312,625.4500122070312,8322870
2021-03-22,624.9500122070312,636.9000244140625,617.6500244140625,628.1500244140625,6196079
2021-03-23,622.5,643.9500122070312,621.0,633.3499755859375,5999369
2021-03-24,625.0,636.4000244140625,607.0,608.8499755859375,4832842
2021-03-25,613.0,618.25,591.5,595.6500244140625,10648953
2021-03-26,606.0,606.0,581.0,585.4000244140625,7778619
2021-03-30,597.0,634.6500244140625,591.0,627.9500122070312,14663780
2021-03-31,623.0,654.0,620.0999755859375,641.8499755859375,15862803
2021-04-01,640.9500122070312,656.9000244140625,635.0,653.5999755859375,7348750
2021-04-05,650.0,664.75,631.5999755859375,646.25,9077724
2021-04-06,648.0,668.8499755859375,645.0,661.3499755859375,7227685
2021-04-07,660.0,673.9500122070312,652.4000244140625,654.4500122070312,4948757
2021-04-08,657.0,664.5999755859375,650.0,651.5999755859375,3926359
2021-04-09,656.0,656.0,630.7000122070312,634.9000244140625,4995747
2021-04-12,625.0,627.6500244140625,581.5,589.5499877929688,5954644
2021-04-13,594.0,618.5,589.0,604.5999755859375,10046450
2021-04-15,611.0,623.9000244140625,597.4000244140625,607.3499755859375,7395673
2021-04-16,610.0,618.7999877929688,602.0,611.75,3577455
2021-04-19,595.0999755859375,603.0,587.0,597.4500122070312,3198847
2021-04-20,606.0,613.0,585.5999755859375,591.75,3403144
2021-04-22,589.0,598.9000244140625,581.9000244140625,591.5999755859375,3182229
2021-04-23,592.0999755859375,597.0499877929688,581.2999877929688,585.4000244140625,3356598
2021-04-26,587.0999755859375,597.9000244140625,585.9000244140625,590.6500244140625,3162291
2021-04-27,591.0999755859375,605.2000122070312,589.4000244140625,597.4500122070312,4496811
2021-04-28,602.9500122070312,613.7000122070312,601.2000122070312,608.0499877929688,4983043
2021-04-29,613.4000244140625,621.0,609.7999877929688,615.7999877929688,6257014
